source_id,source_path,source_sha,line,mac_command_id,classification,milestone,status,evidence
GroupBySyncStatus,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,87,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L87
GroupByTag,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,103,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L103
GroupByOriginalFolder,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,116,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L116
GroupByDateDeleted,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,132,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L132
GroupByFolderPath,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,148,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L148
GroupByDateModifiedYear,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,226,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L226
GroupByDateModifiedMonth,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,242,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L242
GroupByDateModifiedDay,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,258,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L258
GroupByDateCreatedYear,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,274,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L274
GroupByDateCreatedMonth,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,290,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L290
GroupByDateCreatedDay,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,306,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L306
GroupByDateDeletedYear,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,322,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L322
GroupByDateDeletedMonth,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,341,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L341
GroupByDateDeletedDay,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,360,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L360
GroupAscending,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,442,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L442
GroupDescending,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,491,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L491
ToggleGroupDirection,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,540,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L540
GroupByYear,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,568,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L568
GroupByMonth,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,617,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L617
ToggleGroupByDateUnit,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,666,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L666
LayoutDetails,src/Files.App/Actions/Display/LayoutAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/LayoutAction.cs#L6
LayoutList,src/Files.App/Actions/Display/LayoutAction.cs,99951c66928c4da714da8b1dd46039421182cbab,25,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/LayoutAction.cs#L25
LayoutCards,src/Files.App/Actions/Display/LayoutAction.cs,99951c66928c4da714da8b1dd46039421182cbab,44,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/LayoutAction.cs#L44
LayoutGrid,src/Files.App/Actions/Display/LayoutAction.cs,99951c66928c4da714da8b1dd46039421182cbab,63,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/LayoutAction.cs#L63
LayoutColumns,src/Files.App/Actions/Display/LayoutAction.cs,99951c66928c4da714da8b1dd46039421182cbab,82,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/LayoutAction.cs#L82
LayoutAdaptive,src/Files.App/Actions/Display/LayoutAction.cs,99951c66928c4da714da8b1dd46039421182cbab,121,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/LayoutAction.cs#L121
LayoutDecreaseSize,src/Files.App/Actions/Display/LayoutAction.cs,99951c66928c4da714da8b1dd46039421182cbab,212,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/LayoutAction.cs#L212
LayoutIncreaseSize,src/Files.App/Actions/Display/LayoutAction.cs,99951c66928c4da714da8b1dd46039421182cbab,279,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/LayoutAction.cs#L279
SortByName,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L6
SortByDateModified,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,19,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L19
SortByDateCreated,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,32,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L32
SortBySize,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,45,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L45
SortByType,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,58,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L58
SortBySyncStatus,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,71,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L71
SortByTag,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,87,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L87
SortByPath,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,100,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L100
SortByOriginalFolder,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,119,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L119
SortByDateDeleted,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,135,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L135
SortAscending,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,207,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L207
SortDescending,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,246,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L246
ToggleSortDirection,src/Files.App/Actions/Display/SortAction.cs,99951c66928c4da714da8b1dd46039421182cbab,285,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortAction.cs#L285
SortFilesAndFoldersTogether,src/Files.App/Actions/Display/SortFilesAndFoldersTogetherAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortFilesAndFoldersTogetherAction.cs#L6
SortFilesFirst,src/Files.App/Actions/Display/SortFilesFirstAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortFilesFirstAction.cs#L6
SortFoldersFirst,src/Files.App/Actions/Display/SortFoldersFirstAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/SortFoldersFirstAction.cs#L6
AddItem,src/Files.App/Actions/FileSystem/AddItemAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/FileSystem/AddItemAction.cs#L6
CopyItemFromHome,src/Files.App/Actions/FileSystem/CopyItemFromHomeAction.cs,99951c66928c4da714da8b1dd46039421182cbab,10,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/FileSystem/CopyItemFromHomeAction.cs#L10
CopyItemPath,src/Files.App/Actions/FileSystem/CopyItemPathAction.cs,99951c66928c4da714da8b1dd46039421182cbab,8,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/FileSystem/CopyItemPathAction.cs#L8
CopyItemPathWithQuotes,src/Files.App/Actions/FileSystem/CopyItemPathWithQuotesAction.cs,99951c66928c4da714da8b1dd46039421182cbab,8,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/FileSystem/CopyItemPathWithQuotesAction.cs#L8
CopyPath,src/Files.App/Actions/FileSystem/CopyPathAction.cs,99951c66928c4da714da8b1dd46039421182cbab,8,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/FileSystem/CopyPathAction.cs#L8
CopyPathWithQuotes,src/Files.App/Actions/FileSystem/CopyPathWithQuotesAction.cs,99951c66928c4da714da8b1dd46039421182cbab,8,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/FileSystem/CopyPathWithQuotesAction.cs#L8
CreateAlternateDataStream,src/Files.App/Actions/FileSystem/CreateAlternateDataStreamAction.cs,99951c66928c4da714da8b1dd46039421182cbab,9,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/FileSystem/CreateAlternateDataStreamAction.cs#L9
CreateFile,src/Files.App/Actions/FileSystem/CreateFileAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/FileSystem/CreateFileAction.cs#L6
CreateFolder,src/Files.App/Actions/FileSystem/CreateFolderAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/FileSystem/CreateFolderAction.cs#L6
